除息日,股票代號,現金股利,現金股利殖利率(%)
2005/5/19,0050,1.85,3.9623
2006/10/26,0050,4,6.9686
2007/10/24,0050,2.5,3.5411
2007/11/23,0051,0.77,2.1751
2008/10/24,0050,2,5.6322
2009/10/23,0056,2,4.9425
2009/10/23,0050,1,1.8622
2009/4/28,0052,1.461,8.4638
2009/11/24,0051,1.7,5.9378
2010/10/25,0050,2.2,3.9841
2010/11/23,0051,0.9,3.8529
2010/11/23,0053,1,2.9164
2010/11/23,0055,0.4,3.6928
2010/5/3,0052,1.4,3.1646
2011/10/26,0050,1.95,3.6381
2011/11/23,0053,1,8.7267
2011/11/23,0051,0.9,3.6437
2011/10/26,0056,2.2,4.6062
2011/11/23,0055,0.3,2.7881
2011/11/23,006203,0.8,2.5407
2012/5/7,0052,2.374,3.2787
2012/11/22,0051,0.75,7.0029
2012/10/24,0050,1.85,3.4972
2012/11/22,0053,0.55,5.3279
2012/10/24,0056,1.3,3.2293
2012/11/22,0055,0.25,6.0598
2012/11/1,006208,1.844,3.0864
2012/11/22,006203,0.7,2.5264
2012/10/26,006204,1.21,2.3832
2013/11/25,0051,0.8,2.6123
2013/10/24,0050,1.35,2.8124
2013/11/25,0053,0.75,2.2998
2013/11/25,006203,0.85,3.5153
2013/10/24,0056,0.85,2.095
2013/11/25,0055,0.35,1.909
2013/10/25,006204,0.9,2.7501
2013/10/30,006208,0.629,3.178
2014/10/29,006208,1.212,2.518
2014/10/24,0050,1.55,2.5445
2014/11/25,0051,0.75,3.0853
2014/11/25,0053,0.9,6.2806
2014/5/6,0052,2.462,2.3828
2014/11/25,006203,0.75,4.1736
2014/11/25,0055,0.4,1.6297
2014/10/24,006204,0.72,3.2398
2014/10/24,0056,1,2.5381
2015/11/24,0051,0.85,3.0664
2015/10/26,0050,2,2.6144
2015/11/24,0053,0.9,2.0764
2015/10/27,006204,1.55,2.295
2015/10/26,0056,1,3.0349
2015/11/24,0055,0.45,4.415
2015/10/29,006208,0.845,3.4224
2015/11/24,006203,1,2.263
2016/5/4,0052,2.439,3.3138
2016/11/23,0051,0.7,3.3015
2016/7/28,0050,0.85,3.1579
2017/2/8,0050,1.7,2.1459
2016/11/23,0053,1,3.2873
2016/10/26,0056,1.3,6.4507
2016/8/2,006208,0.043,0.9219
2016/10/27,006204,1.58,1.2195
2016/11/23,0055,0.45,3.915
2016/7/28,006203,0.3,0.108
2017/2/8,006203,0.7,5.1282
2017/11/23,0055,0.5,3.2705
2017/11/23,0053,1.15,2.6923
2017/5/3,0052,1.41,3.2744
2017/11/23,0051,0.85,3.125
2017/7/31,0050,0.7,2.2727
2017/10/30,0056,0.95,2.3192
2017/7/31,006203,0.3,2.0606
2018/1/29,0050,2.2,3.0506
2017/10/31,006204,1.7,2.0576
2018/1/29,006203,0.8,0.0989
2017/10/26,00712,0.15,0.8526
2017/7/27,00692,0.021,0.7868
2018/1/24,00712,0.09,0.7415
2017/11/28,00690,0.81,3.5998
2017/11/30,006208,1.65,3.0658
2017/7/27,006208,1,2.6235
2017/11/30,00692,1.12,2.987
2018/10/30,006204,1.94,2.9833
2018/11/29,006208,2,2.3026
2018/11/28,00690,0.66,3.6602
2019/1/22,006203,0.85,5.0886
2018/7/26,006208,0.65,3.3584
2018/11/29,00692,0.743,0.4883
2018/11/22,0053,1.1,1.1956
2018/10/23,0056,1.45,2.5143
2018/7/26,00692,0.083,1.9846
2019/1/22,0050,2.3,0.0508
2018/7/23,006203,0.35,1.2637
2018/7/23,0050,0.7,3.215
2018/5/3,0052,1.72,2.8653
2018/11/22,0055,0.65,1.0403
2018/11/22,0051,1,0.8269
2018/7/26,00701,0.17,0.8935
2018/7/17,00714,0.209,0.7834
2018/12/27,00712,0.357,1.4402
2019/1/24,00717,0.204,2.8564
2019/1/24,00728,1.123,1.3244
2018/10/30,00730,0.979,0.3816
2018/12/21,00731,2.492,4.4273
2019/1/17,00735,0.49,1.0593
2018/10/30,00717,0.216,5.618
2019/1/17,00701,0.47,1.1054
2018/7/26,00717,0.581,3.9608
2018/10/16,00714,0.2,5.3969
2018/3/22,00712,0.009,3.3727
2018/4/19,00714,0.23,3.4943
2018/9/26,00712,0.862,3.6232
2018/11/22,00713,1.55,2.7855
2019/1/16,00714,0.17,5.1857
2018/6/21,00712,0.555,3.2432
2020/1/30,00735,0.38,3.6244
2019/7/17,00735,0.19,4.4833
2019/5/2,00733,0.4,5.0992
2019/11/26,00731,2.266,2.0865
2019/10/29,006204,1.52,0.8905
2020/1/31,006203,1.4,2.2118
2019/7/18,006208,0.661,1.3868
2019/11/28,00690,1.12,2.8739
2019/11/20,006208,1.138,1.117
2019/10/23,0056,1.8,3.0065
2019/11/22,0055,0.7,2.4113
2019/11/22,0053,1.5,1.0614
2019/10/22,00733,0.56,6.1873
2019/7/19,0050,0.7,0.7173
2020/1/31,0050,2.9,0.697
2019/11/22,0051,1.2,1.2821
2019/5/2,0052,1.047,1.8564
2019/11/20,00692,0.53,2.2689
2019/7/18,00692,0.256,2.331
2019/7/19,006203,0.4,0.6067
2019/12/24,00712,0.264,1.0405
2019/10/22,00717,0.215,0.8346
2019/7/18,00717,0.225,2.0766
2020/1/30,00717,0.2,1.3942
2020/1/30,00728,0.737,1.1803
2020/1/30,00701,1.66,1.1205
2019/4/17,00714,0.15,0.8464
2019/10/17,00714,0.1,1.0256
2019/5/2,00717,0.255,0.5823
2019/7/16,00714,0.135,0.4411
2019/3/21,00712,0.135,1.0718
2019/6/25,00712,0.438,4.0086
2019/9/25,00712,0.104,2.8398
2020/1/16,00714,0.21,6.2005
2019/11/22,00713,1.6,2.8495
2019/10/22,00730,0.746,2.6094
2020/11/17,00692,0.608,2.2037
2020/7/21,006208,0.481,2.1431
2020/11/17,006208,1.139,4.7534
2020/10/23,006204,0.76,1.2019
2020/7/21,00692,0.231,3.3937
2020/11/27,00690,0.84,3.632
2021/1/22,0050,3.05,3.5897
2020/10/28,0056,1.6,3.2258
2021/1/19,00701,0.73,4.4694
2020/7/21,0050,0.7,4.5658
2020/7/21,006203,0.28,1.4379
2020/11/20,0051,1.1,0.9489
2020/11/20,0053,1.3,1.0076
2020/11/20,0055,0.65,3.373
2020/4/22,0052,1.927,1.6911
2020/12/17,00712,0.173,1.1837
2021/1/22,006203,1.15,2.8647
2020/6/17,00712,0.338,6.6083
2020/10/21,00730,0.843,1.056
2020/11/18,00731,2.09,3.147
2020/10/21,00733,0.358,3.2184
2021/1/19,00735,1.03,0.0456
2020/9/17,00712,0.273,0.8588
2020/7/21,00717,0.167,2.3863
2020/10/21,00717,0.168,0.6608
2021/1/21,00728,1.9,1.1531
2020/4/22,00717,0.189,2.9646
2021/1/19,00717,0.148,1.1278
2020/11/20,00713,1.7,2.9417
2020/7/16,00714,0.15,0.8246
2020/3/19,00712,0.278,1.2735
2021/1/19,00714,0.121,0.334
2020/4/20,00714,0.12,1.0152
2020/10/21,00714,0.102,0.7213
2021/7/16,006208,0.314,0.6127
2021/11/26,00690,0.84,0.8667
2021/7/16,00692,0.172,0.9247
2021/8/17,00701,0.25,0.8749
2021/11/16,006208,1.641,2.4117
2021/11/16,00692,1.798,0.5638
2021/10/19,006204,5.3,1.0024
2022/1/21,0050,3.2,4.8448
2022/1/21,006203,1.4,1.4745
2021/7/21,0050,0.35,1.1765
2021/11/19,0051,1.75,1.0043
2021/7/21,006203,0.19,5.389
2021/4/20,0052,1.032,1.6158
2021/11/19,0055,0.75,1.96
2021/10/22,0056,1.8,0.3311
2021/11/19,0053,1.7,1.7659
2022/1/18,00701,1.65,2.1148
2021/6/22,00712,0.218,4.2732
2021/12/21,00712,0.187,0.9322
2022/1/20,00728,1.99,3.1881
2021/10/19,00730,1.127,4.805
2021/10/19,00717,0.135,2.6557
2021/11/17,00731,4.3,2.4052
2021/9/17,00712,0.188,3.5003
2021/7/16,00735,0.21,2.3242
2021/10/19,00733,2.09,3.0216
2022/1/18,00717,0.139,1.3644
2022/1/18,00735,1.05,3.3303
2021/7/16,00717,0.163,1.005
2021/4/20,00717,0.162,0.658
2021/11/19,00713,3.15,0.8831
2021/10/19,00714,0.376,3.05
2021/3/18,00712,0.173,1.0602
2021/4/20,00714,0.12,1.1965
2021/7/16,00714,0.382,1.2053
2022/1/18,00714,0.419,6.1648
2022/7/18,006208,1.248,0.4891
2022/7/18,006203,0.83,2.1329
2022/7/18,00692,1.483,1.7437
2022/4/20,0052,10.19,0.8636
2022/3/17,00712,0.184,0.9101
2022/4/20,00717,0.153,1.2073
2022/7/18,00714,0.125,0.8047
2022/7/18,00735,0.25,0.5739
2022/6/21,00712,0.205,0.937
2022/4/20,00733,0.238,1.4302
2022/4/20,00714,0.364,0.9434
2022/7/18,00717,0.147,1.4901
2022/7/18,0050,1.8,4.3618
,,,0.3865
,,,0.4717
,,,1.3773
,,,1.691
,,,0.9504
,,,0.6076
,,,0.6351
,,,0.7937
,,,0.2551
,,,0.2892
,,,1.6484
,,,3.0717
,,,1.6108
,,,1.0146
,,,0.938
,,,1.3352
,,,2.717
,,,5.8146
,,,1.6608
,,,0.7941
,,,5.3286
,,,5.2068
,,,0.921
,,,5.5556
,,,4.8925
,,,1.4854
,,,1.7678
,,,3.4018
,,,0.3814
,,,2.0284
,,,6.6409
,,,0.9974
,,,2.8926
,,,6.8108
,,,2.8226
,,,2.4303
,,,2.9691
,,,2.5543
,,,2.4801
,,,1.405
,,,3.1646
,,,1.2567
,,,5.1195
,,,8.0901
,,,0.4138
,,,3.0955
,,,2.5478
,,,0.2356
,,,5.814
,,,1.2857
,,,1.8321
,,,0.8429
,,,5.9385
,,,2.1462
,,,1.99
,,,1.519
,,,1.7672
,,,2.2138
,,,1.0233
,,,0.1037
,,,1.4568
,,,8.4599
,,,1.573
,,,0.9903
,,,0.6262
,,,0.2107
,,,1.0632
,,,1.7887
